Symbol,ISIN,Sector,Quantity Available,amount_to_recover,alternateSymbol
ASHOKLEY,INE208A01029,Industrials,255,16589.9,ASHOKLEY
BAJAJ-AUTO,INE917I01010,Consumer Discretionary,1,2782.8,BAJAJ-AUTO
BAJAJELEC,INE193E01025,Consumer Discretionary,0,-3253.87,BAJAJELEC
BAJFINANCE,INE296A01024,Financials,21,91497.3,BAJFINANCE
BEL,INE263A01024,Industrials,168,13250.2,BEL
BHEL,INE257A01026,Industrials,275,0,BHEL
BLUEDART,INE233B01017,Industrials,10,62686.6,BLUEDART
BPCL,INE029A01011,Petrol,0,-1110,BPCL
BRITANNIA,INE216A01030,Consumer Staples,14,34205.3,BRITANNIA
BSE,INE118H01025,Financials,15,0.00976562,BSE
CDSL,INE736A01011,Financials,14,20429.5,CDSL
CEATLTD,INE482A01020,Consumer Discretionary,26,30002.6,CEATLTD
CIPLA,INE059A01026,Health Care,6,2983.88,CIPLA
CLEANSCEINCE,INE227W01023,Chemicals,0,1775,CLEAN
CRISIL,INE007A01025,Financials,0,-462.1,CRISIL
DIVISLAB,INE361B01024,Health Care,17,74162,DIVISLAB
EXIDEIND,INE302A01020,Consumer Discretionary,90,14547.2,EXIDEIND
FINCABLES,INE235A01022,Industrials,44,18579,FINCABLES
FINPIPE,INE183A01024,Industrials,155,26433.9,FINOLEXIND
FLFL,INE452O01016,Consumer Discretionary,1320,124399,FLFL
FSC6,INE935Q01015,Industrials,1300,146256,FSC
GODREJCP,INE102D01028,FMCG - Personal Products,20,16761.3,GODREJCP
GRAPHITE,INE371A01025,Industrials,36,16228.3,GRAPHITE
HDFCBANK,INE040A01034,Financials,30,29437.7,HDFCBANK
HDFCLIFE,INE795G01014,Financials,25,15372.5,HDFCLIFE
HEG,INE545A01016,Industrials,21,39029.7,HEG
HEROMOTOCO,INE158A01026,Consumer Discretionary,10,25628.3,HEROMOTOCO
HINDALCO,INE038A01020,Materials,8,-1085.47,HINDALCO
HINDUNILVR,INE030A01027,Consumer Staples,75,110195,HINDUNILVR
IEX,INE022Q01020,Financials,238,59162.6,IEX
INFY,INE009A01021,Information Technology,20,24992.7,INFY
IRCTC,INE335Y01012,Industrials,13,17972.6,IRCTC
ITC,INE154A01025,Consumer Staples,500,67943.2,ITC
JSWSTEEL,INE019A01038,Materials,20,14849.9,JSWSTEEL
L&TFH,INE498L01015,Financials,600,45317.6,L&TFH
LICHSGFIN,INE115A01026,Financials,162,50825.5,LICHSGFIN
LT,INE018A01030,Industrials,24,23471.1,LT
MCX,INE745G01035,Financials,20,32004.8,MCX
NESTLEIND,INE239A01016,Un Known,1,17530.5,NESTLEIND
NETWORK18,INE870H01013,Communication Services,280,23550.3,NETWORK18
OFSS,INE881D01027,Information Technology,16,67634.3,OFSS
PAYTM,INE982J01020,Un Known,4,2541.03,PAYTM
PVR,INE191H01014,Communication Services : Theatres,0,-48.8199,PVR
RECLTD,INE020B01018,Financials,370,14573.2,RECLTD
REDDYSLAB,INE089A01023,Pharma,0,2784,REDDYSLAB
RELIANCE,INE002A01018,Energy,24,2474.2,RELIANCE
SBICARD,INE018E01016,Financials,43,35605.8,SBICARD
SBILIFE,INE123W01016,Financials,12,10802.7,SBILIFE
SBIN,INE062A01020,Financials,62,10899.2,SBIN
SHRENUJ & CO,INE633A01028,Diamonds,4600,34600,SHRENUJ & CO
SPICEJET,INE285B01017,Industrials,0,-10007.3,SPICEJET
SUNPHARMA,INE044A01036,Health Care,0,-474.35,SUNPHARMA
TANLA,INE483C01032,Information Technology,12,20918.1,TANLA
TATACHEM,INE092A01019,Materials,9,7913.3,TATACHEM
TATACOFFEE,INE493A01027,Consumer Staples,132,17603.1,TATACOFFEE
TATACONSUM,INE192A01025,Consumer Staples,92,40359.1,TATACONSUM
TATAMOTORS,INE155A01022,Consumer Discretionary,50,8188.11,TATAMOTORS
TATAPOWER,INE245A01021,Utilities,58,12810.7,TATAPOWER
TATASTEEL,INE081A01012,Materials,12,4654.4,TATASTEEL
TCS,INE467B01029,Information Technology,14,45539.7,TCS
THYROCARE,INE594H01019,Health Care,16,14849.5,THYROCARE
VGUARD,INE951I01027,Industrials,84,18517,VGUARD
VOLTAS,INE226A01021,Industrials,13,16002.8,VOLTAS
VSTIND,INE710A01016,Consumer Staples,14,46408.6,VSTIND
YESBANK,INE528G01035,Financials,9300,207880,YESBANK